text	label
这是在向世界上所有的母亲宣战！[怒] //@子小亻青loukas妈:听说后一直不想看，耐不住看了实在忍不住了，这是杀人啊！[怒] //@非-麻辣教师: //@强子0311:转发微博	0
和少奶奶@5棒冰 一起收拾完衣柜，就躺在听她给我讲#步步惊心#的情感纠葛「四和八喜欢她」，「她灵魂穿越了」，「郑克爽对她表白了」我疑问了，郑克爽是谁？少奶奶淡定的说「对不起，我穿越了，郑克爽是#鹿鼎记#里的」[泪][汗][偷笑]	0
两个教堂竟然都拍出星轨了……城市的光污染都很严重才对啊，这不科学……[泪]//@简白: 想去青岛！！//@大海一亮跟拍: 【美丽青岛】	0
//@淘宝拍卖会: #全民疯抢，1元疯拍# 双12的欧洲奢华游拍卖还剩4天就要开拍了，大家赶紧收藏好心动的路线，到时候下手就是要快！准！狠！[哈哈] 现在还有免费的奢华欧洲体验游名额1名送出哦，谁会是最终的幸运儿呢？说出你想去的路线，转发+评论，别忘了 @3个以上的好友哦！http://t.cn/SGTFXu	1
我们最可爱最单纯越来越帅让人越来越喜欢的巨型忙内生日快乐🎂🎂🎂	1
我都没看清楚，原来是画上去的啊，也太厉害了吧！ //@Amber-叶?嫣:她怎么画的这么美?？[抓狂][抓狂]	0
南京处在蒸笼状态??金陵大肉包随处可见??[抓狂] //@米爱国:武汉处在火炉状态[抓狂]//@鹿车夫: 回复@米爱国:刚刚大雨倾盆，凉爽[下雨] //	0
回复@鬼灵精怪小猴子:[嘻嘻]我把你嫁出去鸽子蛋送我 //@鬼灵精怪小猴子:回复@淡淡的水水:[好激动]快快 都来娶鸽子蛋吧	1
你觉得成 咱就成了 哈哈哈[哈哈] //@九姑娘cc:橙色 //@刘土土_LoisLiu: @九姑娘cc 大概就这个颜色 你看成不	1
还真是这样的@哥哥叫Jessica @叮?叔叔 //@凤凰刘建东: 看来你的不够三条//@萨博slinna: 能有其中三条我就知足[哈哈]	1
师哥我是该乐呢还是哭呢，目前还没有网友要弄死你[哈哈]	1
六一出生的？好讽刺…… //@祭春姬:他爸爸是外星人吧 //@面孔小高:现在的孩子都怎么了 [怒][怒][怒]	0
啊啊！你竟然又到了BKK[泪]我们住过的肥婆旅店，还有意大利帅哥给我们弹吉他唱歌的窗子[泪]啊啊啊！！激动了！	0
保护好自己《泪》《泪》 #致敬疫情前线医护人员# 致敬英雄,保护好自己《心》《心》	1
介火锅，也忒火了吧，这点儿已经没位啦！幸亏我到得早，享受一顿，明儿，减肥的银都懂的！好久没吃四川火锅了，这家闻名已久，还没进门就闻到好闻熟悉的辣味了。[哈哈]	1
[可爱] 永远都不要停止微笑，即使在你难过的时候，说不定有人会因为你的笑容爱上你。#中环*悟#	1
拉到脱水了…[泪][泪][泪][泪][泪][泪][泪] 谁能在身边？@番茄小牙	0
回复@M78星云澳洲联络处茶水部小许:河豚？是不是那个超级美味的。。。[晕] //@M78星云澳洲联络处茶水部小许:河豚	0
几乎从来不听广播，前阵子偶然调到97.4， @DJ白杰 挺有意思的，现在每天早上出门都调到他的节目，就算北京堵成天然停车场了，心情还是好好的。[兔子]今儿听了节目好想去马尔代夫~~~年假为什么那么少~~~[泪]	0
[泪]我同事这条微博也@了我???//@多向度C: @张丽华larissa @m265	0
街头快闪版“欢乐颂”！听了三遍，收藏了！@小毛的娘 @开心开心果的园 @南京的冬天 @大袖飘飘找世界 @姐姐陈 @熬夜鬼 @绿小素 @瞬息繁华 [爱你]@爱蒙古长调: [泪][心][爱你]爱，就这样一传十，十传百弥漫开来。一把提琴唤出一个编制精干的乐队、一个自发的合唱团、发出同一个声音。	0
今晚第一次去＂王家沙＂上海菜，[汗] 看上去样子还可以，吃了一口[抓狂]，木晒意见了[失望]	0
石正丽,石正丽,石正丽。我手打了三遍,我想记住这个名字。尊敬《心》《心》《心》	1
大早晨起来开批斗大会也是够了,让我整天都不好了……	0
有些话就算解释了也会有人鸡蛋里挑骨头诋毁你你得明白大部分的人都见不得别人好落井下石的人永远在马上和你撇清关系的也不会少看戏的观众总是按时出现但是你永远要感谢给你逆境的众生不然怎么会成就日后无坚不摧的你	1
回复@ManYee_Z: 注意我说的参考平均值，常年基本是这样滴~呵呵 //@ManYee_Z:留意了很久 ?票?是很? ?便宜阿 //@没有蛀牙的LEO:回复@美媛馆: 机票往返要是从香港直飞大概平均在6500左右，酒店。外岛 等等。。。你懂滴。。。 //@美媛馆:一万3，4[衰]	0
@栀子花瓣的小窝@悦馨--球爱的天空 @菁制美食 @笑纳Lin生 昨晚的晚报也有报道。这是发现的，没发现的地沟油都去哪里了？[怒][怒][怒]	0
